name,hits,module
smn_Tender_FieldPrice,4,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Hgzm_Gathering_Price,4,smn / صورت‌وضعیت، نظارت، ماهانه
Pek_Msr_Rabet_Peyman,4,peik / گزارش‌ها و درخت گزارش
Pek_Msr_Seri_Degree,4,peik / گزارش‌ها و درخت گزارش
sp_creatediagram,4,unknown / نیازمند بررسی
CofhCursor,4,unknown / نیازمند بررسی
atm_detail_fhbh_project,4,unknown / نیازمند بررسی
atm_detail_fhbh,4,unknown / نیازمند بررسی
INFORMATION_SCHEMA.KEY_COLUMN_USAGE,4,unknown / نیازمند بررسی
tblLog,3,unknown / نیازمند بررسی
dt_checkinobject,3,system / آبجکت‌های سیستمی SQL Server
dt_checkoutobject,3,system / آبجکت‌های سیستمی SQL Server
dt_isundersourcecontrol,3,system / آبجکت‌های سیستمی SQL Server
dt_validateloginparams,3,system / آبجکت‌های سیستمی SQL Server
dt_whocheckedout,3,system / آبجکت‌های سیستمی SQL Server
dt_generateansiname,3,system / آبجکت‌های سیستمی SQL Server
base_acts,3,base / فهرست‌بها و اطلاعات پایه
brv_type_situ,3,brv / برآورد، قرارداد، ریزمتره، منابع
sp_upgraddiagrams,3,unknown / نیازمند بررسی
dbo,3,unknown / نیازمند بررسی
sp_alterdiagram,3,unknown / نیازمند بررسی
sp_dropdiagram,3,unknown / نیازمند بررسی
viwBase_Added,3,view / ویوهای محاسباتی و گزارش‌گیری
brv_sorc_acts,3,brv / برآورد، قرارداد، ریزمتره، منابع
viwBaseDifference92From88,3,view / ویوهای محاسباتی و گزارش‌گیری
syscomments,3,system / آبجکت‌های سیستمی SQL Server
BaseBarcode,3,unknown / نیازمند بررسی
tbl_letters,3,unknown / نیازمند بررسی
Pek_Msr_Seri,3,peik / گزارش‌ها و درخت گزارش
Pek_Msr_List,3,peik / گزارش‌ها و درخت گزارش
sp_helpdiagrams,3,unknown / نیازمند بررسی
sp_helpdiagramdefinition,3,unknown / نیازمند بررسی
sp_renamediagram,3,unknown / نیازمند بررسی
brv_mult_sub,3,brv / برآورد، قرارداد، ریزمتره، منابع
pek_reports,2,peik / گزارش‌ها و درخت گزارش
nusv_type_nufh_list,2,unknown / نیازمند بررسی
dt_addtosourcecontrol,2,system / آبجکت‌های سیستمی SQL Server
dt_checkinobject_u,2,system / آبجکت‌های سیستمی SQL Server
dt_checkoutobject_u,2,system / آبجکت‌های سیستمی SQL Server
dt_isundersourcecontrol_u,2,system / آبجکت‌های سیستمی SQL Server
dt_validateloginparams_u,2,system / آبجکت‌های سیستمی SQL Server
dt_whocheckedout_u,2,system / آبجکت‌های سیستمی SQL Server
Acc_OpenProjects,2,unknown / نیازمند بررسی
svz_importer.INFORMATION_SCHEMA,2,svz / صورت‌وضعیت یا ایمپورت آن
svz_importer.information_schema,2,svz / صورت‌وضعیت یا ایمپورت آن
t_c,2,unknown / نیازمند بررسی
set_user_state_peik,2,unknown / نیازمند بررسی
Pek_Users,2,peik / گزارش‌ها و درخت گزارش
INFORMATION_SCHEMA.tables,2,unknown / نیازمند بررسی
compare_projects_fhpy,2,unknown / نیازمند بررسی
brv_importer.INFORMATION_SCHEMA,2,brv / برآورد، قرارداد، ریزمتره، منابع
smn_access,2,smn / صورت‌وضعیت، نظارت، ماهانه
Access_Cursor,2,unknown / نیازمند بررسی
sysdiagram_properties,2,system / آبجکت‌های سیستمی SQL Server
dt_displayoaerror_u,2,system / آبجکت‌های سیستمی SQL Server
ader,2,unknown / نیازمند بررسی
bkal,2,unknown / نیازمند بررسی
dstb,2,unknown / نیازمند بررسی
grop,2,unknown / نیازمند بررسی
hmbs,2,unknown / نیازمند بررسی
nmmhb,2,unknown / نیازمند بررسی
pyfs,2,unknown / نیازمند بررسی
shkh1,2,unknown / نیازمند بررسی
shkh2,2,unknown / نیازمند بررسی
shkh3,2,unknown / نیازمند بررسی
sorc_sc,2,unknown / نیازمند بررسی
sorc_sn,2,unknown / نیازمند بررسی
tatb,2,unknown / نیازمند بررسی
zrlc,2,unknown / نیازمند بررسی
fsbs,2,unknown / نیازمند بررسی
fsbz,2,unknown / نیازمند بررسی
unit,2,unknown / نیازمند بررسی
dt_adduserobject,2,system / آبجکت‌های سیستمی SQL Server
viwBase85,2,view / ویوهای محاسباتی و گزارش‌گیری
bhz_Contract,2,bhz / بخش بهای زیاد یا ماژول خاص
dds,2,unknown / نیازمند بررسی
viwBase_Deleted,2,view / ویوهای محاسباتی و گزارش‌گیری
sysprocesses,2,system / آبجکت‌های سیستمی SQL Server
master.dbo,2,unknown / نیازمند بررسی
dt_adduserobject_vcs,2,system / آبجکت‌های سیستمی SQL Server
V_Ana,2,view / ویوهای محاسباتی و گزارش‌گیری
new_src_record,2,unknown / نیازمند بررسی
dt_droppropertiesbyid,2,system / آبجکت‌های سیستمی SQL Server
atm_Detail_Parts,2,unknown / نیازمند بررسی
GetStuBarcode,2,unknown / نیازمند بررسی
psn_importer.INFORMATION_SCHEMA,2,psn / پیشنهادی/پرسنلی/ایمپورت مرتبط
smn_Base_Days,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Survey_Tariff,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Survey_Tariff_Base,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Hgzm_Nailing_Price,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Hgzm_Road_Price,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Hgzm_Salary,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Tunnel_PriceFac,2,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Tunnel_PriceFac_Base,2,smn / صورت‌وضعیت، نظارت، ماهانه
Pek_nash,2,peik / گزارش‌ها و درخت گزارش
Pek_Ostan,2,peik / گزارش‌ها و درخت گزارش
TableCursor,2,unknown / نیازمند بررسی
viewbgml,2,unknown / نیازمند بررسی
viwBase_Deleted92From88,2,view / ویوهای محاسباتی و گزارش‌گیری
fn_diagramobjects,2,unknown / نیازمند بررسی
tbl_id,2,unknown / نیازمند بررسی
grop_list,2,unknown / نیازمند بررسی
base_tyun,2,base / فهرست‌بها و اطلاعات پایه
Base_ItemType,2,base / فهرست‌بها و اطلاعات پایه
Base_Months,2,base / فهرست‌بها و اطلاعات پایه
base_IntpVaziat,2,base / فهرست‌بها و اطلاعات پایه
Base_SeMahe,2,base / فهرست‌بها و اطلاعات پایه
base_ShakhesType,2,base / فهرست‌بها و اطلاعات پایه
base_TajhzType,2,base / فهرست‌بها و اطلاعات پایه
base_NoteGroup,2,base / فهرست‌بها و اطلاعات پایه
base_PersonalityTyp,2,base / فهرست‌بها و اطلاعات پایه
base_ZrLc,2,base / فهرست‌بها و اطلاعات پایه
atm_contract,2,unknown / نیازمند بررسی
base_acts_type,2,base / فهرست‌بها و اطلاعات پایه
base_DocFanni,2,base / فهرست‌بها و اطلاعات پایه
base_Style_Title,2,base / فهرست‌بها و اطلاعات پایه
base_Style_List,2,base / فهرست‌بها و اطلاعات پایه
BaseSituNoe,2,unknown / نیازمند بررسی
base_mola_Year,2,base / فهرست‌بها و اطلاعات پایه
base_pakati,2,base / فهرست‌بها و اطلاعات پایه
base_pvst_fosi,2,base / فهرست‌بها و اطلاعات پایه
base_zrtj,2,base / فهرست‌بها و اطلاعات پایه
brv_color,2,brv / برآورد، قرارداد، ریزمتره، منابع
Reports,2,unknown / نیازمند بررسی
Report_Frames,2,unknown / نیازمند بررسی
brv_Tree_Report,2,brv / برآورد، قرارداد، ریزمتره، منابع
TblCtrl,2,unknown / نیازمند بررسی
brv_Forms,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_HelpFilm,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_MessageType,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_SetSms,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_special_type,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Tender_AlfaFactor,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Tender_Import,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Tender_ImportFactors_Base,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Tender_Stages,2,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Tender_TendererCount,2,brv / برآورد، قرارداد، ریزمتره، منابع
pek_dis_state,2,peik / گزارش‌ها و درخت گزارش
pek_dis_zone,2,peik / گزارش‌ها و درخت گزارش
pek_dis_point,2,peik / گزارش‌ها و درخت گزارش
INFORMATION_SCHEMA.REFERENTIAL_CONSTRAINTS,2,unknown / نیازمند بررسی
fk_list,2,unknown / نیازمند بررسی
col_list,2,unknown / نیازمند بررسی
viwbase95,1,view / ویوهای محاسباتی و گزارش‌گیری
viwbase93,1,view / ویوهای محاسباتی و گزارش‌گیری
dt_addtosourcecontrol_u,1,system / آبجکت‌های سیستمی SQL Server
vwNezarat,1,view / ویوهای محاسباتی و گزارش‌گیری
brv_ovma,1,brv / برآورد، قرارداد، ریزمتره، منابع
set_user_state_asnad,1,unknown / نیازمند بررسی
smn_Users,1,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Access,1,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Template,1,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Role,1,smn / صورت‌وضعیت، نظارت، ماهانه
set_user_state_bhz,1,unknown / نیازمند بررسی
bhz_Users,1,bhz / بخش بهای زیاد یا ماژول خاص
INFORMATION_SCHEMA.TABLES,1,unknown / نیازمند بررسی
base_conc,1,base / فهرست‌بها و اطلاعات پایه
dt_getpropertiesbyid_vcs_u,1,system / آبجکت‌های سیستمی SQL Server
dt_setpropertybyid_u,1,system / آبجکت‌های سیستمی SQL Server
viwSooratVaziat,1,view / ویوهای محاسباتی و گزارش‌گیری
viwTakhirat,1,view / ویوهای محاسباتی و گزارش‌گیری
viwBase86,1,view / ویوهای محاسباتی و گزارش‌گیری
dt_getobjwithprop,1,system / آبجکت‌های سیستمی SQL Server
dt_getpropertiesbyid,1,system / آبجکت‌های سیستمی SQL Server
dt_getobjwithprop_u,1,system / آبجکت‌های سیستمی SQL Server
dt_getpropertiesbyid_u,1,system / آبجکت‌های سیستمی SQL Server
the,1,unknown / نیازمند بررسی
dt_dropuserobjectbyid,1,system / آبجکت‌های سیستمی SQL Server
sp_OAGetErrorInfo,1,unknown / نیازمند بررسی
viwBase_Added92From88,1,view / ویوهای محاسباتی و گزارش‌گیری
V_Shakhes3,1,view / ویوهای محاسباتی و گزارش‌گیری
viwBase_SamePrice92From88,1,view / ویوهای محاسباتی و گزارش‌گیری
V_Shakhes4,1,view / ویوهای محاسباتی و گزارش‌گیری
dt_removefromsourcecontrol,1,system / آبجکت‌های سیستمی SQL Server
V_ShakhesReshte2,1,view / ویوهای محاسباتی و گزارش‌گیری
Smn_Survey_Category,1,smn / صورت‌وضعیت، نظارت، ماهانه
smn_Survey_Units,1,smn / صورت‌وضعیت، نظارت، ماهانه
V_ShakhesReshte3,1,view / ویوهای محاسباتی و گزارش‌گیری
BASE_SHKL,1,base / فهرست‌بها و اطلاعات پایه
BASE_SHRS,1,base / فهرست‌بها و اطلاعات پایه
BASE_SHFS,1,base / فهرست‌بها و اطلاعات پایه
dt_vcsenabled,1,system / آبجکت‌های سیستمی SQL Server
V_ShakhesReshte4,1,view / ویوهای محاسباتی و گزارش‌گیری
viwTadil,1,view / ویوهای محاسباتی و گزارش‌گیری
shrs,1,unknown / نیازمند بررسی
shfs,1,unknown / نیازمند بررسی
viwBase97,1,view / ویوهای محاسباتی و گزارش‌گیری
shkl,1,unknown / نیازمند بررسی
Pek_List,1,peik / گزارش‌ها و درخت گزارش
dt_verstamp006,1,system / آبجکت‌های سیستمی SQL Server
viwBase_Difference,1,view / ویوهای محاسباتی و گزارش‌گیری
brv_role,1,brv / برآورد، قرارداد، ریزمتره، منابع
dt_verstamp007,1,system / آبجکت‌های سیستمی SQL Server
viwBase_SamePrice,1,view / ویوهای محاسباتی و گزارش‌گیری
information_schema.tables,1,unknown / نیازمند بررسی
V_ShakhesReshte1,1,view / ویوهای محاسباتی و گزارش‌گیری
V_Shakhes2,1,view / ویوهای محاسباتی و گزارش‌گیری
get_new_id,1,unknown / نیازمند بررسی
brv_book,1,brv / برآورد، قرارداد، ریزمتره، منابع
brv_m,1,brv / برآورد، قرارداد، ریزمتره، منابع
Reports_Tip,1,unknown / نیازمند بررسی
tbl_Version,1,unknown / نیازمند بررسی
viwTatbigh_Paykar,1,view / ویوهای محاسباتی و گزارش‌گیری
brv_elhagh,1,brv / برآورد، قرارداد، ریزمتره، منابع
brv_report_history,1,brv / برآورد، قرارداد، ریزمتره، منابع
brv_takhir_svz,1,brv / برآورد، قرارداد، ریزمتره، منابع
brv_Packages,1,brv / برآورد، قرارداد، ریزمتره، منابع
