xml_order,xml_table,row_count,field_count,web_entity,business_meaning,import_mapping_strategy,composite_key_candidate,scriptxml_status,export_policy,web_domain,normalized_entity_candidate,section09_decision,roundtrip_anchor_required
15,brv_elhagh,1,5,contract_addendum,الحاقیه/افزایش قرارداد,normalize + passthrough,elh_link_proj+elh_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Project Core,ContractAddendum,normalize,yes
16,brv_type,3,11,project_party_role,نقش‌های پروژه: پیمانکار/مشاور/کارفرما,normalize + preserve,typ_link_proj+typ_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Project Core,ProjectPartyRole,normalize,yes
17,brv_situ,21,6,payment_period_number,شماره‌های صورت‌وضعیت/دوره‌ها,normalize + preserve,stu_link_proj+stu_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Commercial Document,PaymentPeriodNumber,normalize,yes
18,brv_intp,7,24,adjustment_interpolation,درون‌یابی/دوره شاخص برای تعدیل,normalize for adjustment engine,itp_link_proj+itp_type+itp_nusv+itp_rad,both_exact,merge_patch_if_changed_else_raw_passthrough,Adjustment,AdjustmentInterpolation,normalize,yes
19,brv_kosorat,360,10,deduction,کسورات اصلی صورت‌وضعیت,normalize + calculate/patch,ksr_link_proj+ksr_type+ksr_nusv+ksr_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Deduction,Deduction,normalize,yes
20,brv_ahta,781,46,adjustment_result_line,آحاد/نتایج تعدیل فصلی/رشته‌ای,normalize + calculate/patch,ata_link_proj+ata_type+ata_nusv+ata_rad,both_exact,merge_patch_if_changed_else_raw_passthrough,Adjustment,AdjustmentResultLine,normalize,yes
21,brv_acts,122,30,activity_schedule,فعالیت‌ها/برنامه/اکشن‌ها,normalize later + passthrough,act_link_proj+act_type+act_nusv+act_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Other/Passthrough,ActivitySchedule,preserve_then_analyze,yes
22,brv_type_situ,33,41,payment_certificate_version,نسخه/دوره صورت‌وضعیت برای هر نقش و وضعیت رسیدگی,normalize + workflow patch,tst_link_proj+tst_type+tst_nusv,both_exact,merge_patch_if_changed_else_raw_passthrough,Commercial Document / Workflow,PaymentCertificateVersion,normalize,yes
23,brv_fhpy,183,286,price_list_chapter_package,خلاصه فصل‌ها/ضرایب فصل و تنظیمات فهرست,normalize + calculated projection,fhp_link_proj+fhp_type+fhp_nusv+fhp_nufh,both_exact,merge_patch_if_changed_else_raw_passthrough,Price List / Chapter Summary,PriceListChapterPackage,normalize,yes
24,brv_mult,6705,198,coefficient_matrix,ماتریس ضرایب فصل/ردیف/دوره,normalize + coefficient engine,mlt_link_proj+mlt_type+mlt_nusv+mlt_nufh+mlt_nuse,both_exact,merge_patch_if_changed_else_raw_passthrough,Coefficient Engine,CoefficientMatrix,normalize,yes
25,brv_grop,1830,10,item_group,گروه‌بندی آیتم‌ها/حمل/محدودیت‌ها,normalize + preserve order,grp_link_proj+grp_type+grp_nusv+grp_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Other/Passthrough,ItemGroup,preserve_then_analyze,yes
26,brv_mogs,954,14,measurement_group_or_site_minute,گروه/صورتجلسه/منبع ریزمتره,normalize + workflow patch,mog_link_proj+mog_type+mog_nusv+mog_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Measurement,MeasurementGroupOrSiteMinute,normalize,yes
27,brv_fhbh,5116,29,price_list_item_snapshot,آیتم‌های فهرست‌بها/قرارداد در هر نسخه,normalize + controlled item patch,fbh_link_proj+fbh_type+fbh_nusv+fbh_nufh+fbh_nuse+fbh_cofh,both_exact,merge_patch_if_changed_else_raw_passthrough,Price List Snapshot,PriceListItemSnapshot,normalize,yes
28,brv_rzmt,8551,37,measurement_line,ردیف‌های ریزمتره,normalize + editable business lines,rmt_link_proj+rmt_type+rmt_nusv+rmt_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Measurement,MeasurementLine,normalize,yes
29,brv_ader,4411,12,item_conversion_or_attachment_relation,ارتباط/تبدیل آیتم‌ها و مقادیر وابسته,normalize later + passthrough,adr_link_proj+adr_type+adr_nusv+adr_nufh+adr_nuse+adr_cofh,both_exact,merge_patch_if_changed_else_raw_passthrough,Other/Passthrough,ItemConversionOrAttachmentRelation,preserve_then_analyze,yes
30,brv_khmt,7726,22,reviewed_work_line,کارکرد/خدمات منتقل‌شده از ریزمتره به رسیدگی,normalize + review patch,kmt_link_proj+kmt_type+kmt_nusv+kmt_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Review,ReviewedWorkLine,normalize,yes
31,brv_bgml,2122,32,financial_statement_line,برگه مالی/مبلغ ردیف‌های صورت‌وضعیت,calculated + patch after approval,bgm_link_proj+bgm_type+bgm_nusv+bgm_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Financial,FinancialStatementLine,normalize,yes
32,brv_hmbs,757,18,transport_binding,همبستگی/محاسبات حمل,normalize later + passthrough,hmb_link_proj+hmb_type+hmb_nusv+hmb_link_grop,both_exact,merge_patch_if_changed_else_raw_passthrough,Transport,TransportBinding,normalize,yes
33,brv_dstb,1297,16,transport_distance_base,فاصله/حمل پایه,normalize + transport engine,dsb_link_proj+dsb_type+dsb_nusv+dsb_link_grop,both_exact,merge_patch_if_changed_else_raw_passthrough,Transport,TransportDistanceBase,normalize,yes
34,brv_hmpy,711,11,transport_summary,خلاصه حمل/همپایگی,normalize + transport engine,hmp_link_proj+hmp_type+hmp_nusv+hmp_link_grop,both_exact,merge_patch_if_changed_else_raw_passthrough,Transport,TransportSummary,normalize,yes
35,brv_hmpy_rzmt,3382,12,transport_measurement_detail,جزئیات حمل متصل به ریزمتره,normalize + transport engine,hmp_link_proj+hmp_type+hmp_nusv+hmp_link_mog+hmp_link_grop,both_exact,merge_patch_if_changed_else_raw_passthrough,Measurement,TransportMeasurementDetail,normalize,yes
36,brv_dstn_main,960,10,distance_summary,خلاصه فاصله حمل,normalize + transport engine,dsn_link_proj+dsn_type+dsn_nusv+dsn_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Transport,DistanceSummary,normalize,yes
37,brv_dstn_fromto,122,16,distance_route_detail,مسیر مبدا/مقصد حمل,normalize + transport engine,dsf_link_proj+dsf_type+dsf_nusv+dsf_link_main,both_exact,merge_patch_if_changed_else_raw_passthrough,Transport,DistanceRouteDetail,normalize,yes
38,brv_dstn_main_rzmt,28652,11,distance_measurement_summary,فاصله حمل متصل به ریزمتره,normalize + transport engine,dsn_link_proj+dsn_type+dsn_nusv+dsn_link_mog+dsn_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Measurement,DistanceMeasurementSummary,normalize,yes
39,brv_dstn_fromto_rzmt,66,17,distance_measurement_route_detail,مسیر حمل متصل به ریزمتره,normalize + transport engine,dsf_link_proj+dsf_type+dsf_nusv+dsf_link_mog+dsf_link_main,both_exact,merge_patch_if_changed_else_raw_passthrough,Measurement,DistanceMeasurementRouteDetail,normalize,yes
40,brv_sorc_all,155,12,resource_master_summary,فهرست منابع/مصالح/دستمزدهای جمع‌بندی,normalize + preserve,src_link_proj+src_type+src_nusv+src_id,both_exact,merge_patch_if_changed_else_raw_passthrough,Resource/Analysis,ResourceMasterSummary,normalize,yes
41,brv_sorc,155,9,resource_price_or_assignment,اتصال منابع به آیتم/دوره,normalize + preserve,src_link_proj+src_type+src_nusv+src_link_sorclist+src_nufh,both_exact,merge_patch_if_changed_else_raw_passthrough,Resource/Analysis,ResourcePriceOrAssignment,normalize,yes
42,brv_nmmhb,155,15,resource_quantity_line,مقادیر منابع/مصالح مرتبط با آیتم,normalize + preserve,nmb_link_proj+nmb_type+nmb_nusv+nmb_link_sorclist,both_exact,merge_patch_if_changed_else_raw_passthrough,Resource/Analysis,ResourceQuantityLine,normalize,yes
43,brv_Jobrankosoorat,186,9,wage_rank_deduction,کسورات/افزودنی جبران/رتبه کار,normalize + passthrough until rules,tkr_link_proj+tkr_type+tkr_nusv+tkr_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Deduction,WageRankDeduction,normalize,yes
44,brv_Arzkosoorat,186,9,currency_compensation_deduction,کسورات/افزودنی جبران ارز,normalize + passthrough until rules,tkr_link_proj+tkr_type+tkr_nusv+tkr_id,actual_only,merge_patch_if_changed_else_raw_passthrough,Deduction,CurrencyCompensationDeduction,normalize,yes
45,brv_Tadilkosorat,192,9,adjustment_deduction,کسورات تعدیل,normalize + adjustment engine,Tkr_link_proj+Tkr_type+Tkr_nusv+Tkr_id,both_case_diff,merge_patch_if_changed_else_raw_passthrough,Adjustment,AdjustmentDeduction,normalize,yes
