table,prefix,family,xml_path,column_count,columns
brv_ovma,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_ovma,18,ovm_link_proj|ovm_nusv|ovm_type|ovm_id|ovm_rad|ovm_name|ovm_mola|ovm_numb|ovm_pchr|ovm_pert|ovm_price|ovm_totalPrice|ovm_minPrice|ovm_monthCost|ovm_totalMonthCost|ovm_kar|ovm_mont|ovm_pcal
brv_ovhd,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_ovhd,9,ovh_link_proj|ovh_nusv|ovh_type|ovh_id|ovh_rad|ovh_dscr|ovh_mola|ovh_prcn|ovh_Type_A_or_D
brv_intp,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_intp,16,itp_link_proj|itp_nusv|itp_type|itp_nusv_previous|itp_type_previous|itp_num_prod|itp_year|itp_rad|itp_prod|itp_tidy|itp_avg|itp_year_shkh|itp_num_prod_shkh|itp_type_shkh|itp_num_type_shkh|itp_prod_shkh
brv_fhpy,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_fhpy,322,fhp_link_proj|fhp_nufh|fhp_nusv|fhp_type|fhp_abst|fhp_dscr|fhp_rad|fhp_plmu_tit|fhp_loca_tit|fhp_heit_tit|fhp_taba_tit|fhp_hard_tit|fhp_tatb_tit|fhp_oth1_tit|fhp_oth2_tit|fhp_oth3_tit|fhp_ovhd_tit|fhp_zrmp1_tit|fhp_zrmp2_tit|fhp_loca_tit_psn|fhp_heit_tit_psn|fhp_taba_tit_psn|fhp_hard_tit_psn|fhp_tatb_tit_psn|fhp_oth1_tit_psn|fhp_oth2_tit_psn|fhp_oth3_tit_psn|fhp_ovhd_tit_psn|fhp_plmu|fhp_plmu_s|fhp_plmu_fc|fhp_plmu_mp|fhp_plmu_s_mp|fhp_plmu_fc_mp|fhp_loca|fhp_loca_s|fhp_loca_fc|fhp_loca_mp|fhp_loca_s_mp|fhp_loca_fc_mp|fhp_heit|fhp_heit_s|fhp_heit_fc|fhp_heit_mp|fhp_heit_s_mp|fhp_heit_fc_mp|fhp_taba|fhp_taba_s|fhp_taba_fc|fhp_taba_mp|fhp_taba_s_mp|fhp_taba_fc_mp|fhp_hard|fhp_hard_s|fhp_hard_fc|fhp_hard_mp|fhp_hard_s_mp|fhp_hard_fc_mp|fhp_tatb|fhp_tatb_s|fhp_tatb_fc|fhp_tatb_mp|fhp_tatb_s_mp|fhp_tatb_fc_mp|fhp_oth1|fhp_oth1_s|fhp_oth1_fc|fhp_oth1_mp|fhp_oth1_s_mp|fhp_oth1_fc_mp|fhp_oth2|fhp_oth2_s|fhp_oth2_fc|fhp_oth2_mp|fhp_oth2_s_mp|fhp_oth2_fc_mp|fhp_oth3|fhp_oth3_s|fhp_oth3_fc|fhp_oth3_mp|fhp_oth3_s_mp|fhp_oth3_fc_mp|fhp_ovhd|fhp_ovhd_s|fhp_ovhd_fc|fhp_ovhd_mp|fhp_ovhd_s_mp|fhp_ovhd_fc_mp|fhp_sumz|fhp_sumz_s|fhp_sumz_fc|fhp_sumz_mp|fhp_sumz_s_mp|fhp_sumz_fc_mp|fhp_zrmp|fhp_zrmp_sx|fhp_zrmp_fc|fhp_zrse|fhp_mbfh|fhp_mbsx|fhp_mbfc|fhp_mbmp|fhp_mb_totl|fhp_mbfh_z|fhp_mbsx_z|fhp_mbfc_z|fhp_mbmp_z|fhp_mb_totl_z|fhp_mbfh_work|fhp_mbsx_work|fhp_mbfc_work|fhp_mbmp_work|fhp_mb_work|fhp_mb_work_ol|fhp_mbfh_work_z|fhp_mbsx_work_z|fhp_mbfc_work_z|fhp_mbmp_work_z|fhp_mb_work_z|fhp_mb_work_ol_z|fhp_pr_work|fhp_pr_work_z|fhp_mbtj_work|fhp_mbtj_fmul_work|fhp_mbtj_work_totl|fhp_mbfh_work_tatb|fhp_mbsx_work_tatb|fhp_mbfc_work_tatb|fhp_mbmp_work_tatb|fhp_mb_work_tatb|fhp_mbfh_work_tatb_z|fhp_mbsx_work_tatb_z|fhp_mbfc_work_tatb_z|fhp_mbmp_work_tatb_z|fhp_mb_work_tatb_z|fhp_mbtj_work_tatb|fhp_fzkh_new|fhp_fzkh|fhp_fzkh_fznew|fhp_fzkh_kh|fhp_fzkh_sum|fhp_fzkh_new_z|fhp_fzkh_z|fhp_fzkh_fznew_z|fhp_fzkh_kh_z|fhp_fzkh_sum_z|fhp_pr_fzkh|fhp_pr_fzkh_z|fhp_btjh|fhp_tjhz_prcn|fhp_mbfh_tdil|fhp_mbsx_tdil|fhp_mb_totl_tdil|fhp_mb_work_tdil|fhp_mbfh_tdil_z|fhp_mbsx_tdil_z|fhp_mb_totl_tdil_z|fhp_mb_work_tdil_z|fhp_przr|fhp_prbv|fhp_prbv_z|fhp_prbv_tdil_z|fhp_prbv_tdil|fhp_mb49|fhp_mbtj|fhp_mbtj_fmul|fhp_mbtj_tdil|fhp_mbtj_fmul_tdil|fhp_mbts|fhp_mbts_tdil|fhp_tl49|fhp_tgrb|fhp_auto|fhp_prtj|fhp_mb_yargh_kh|fhp_mb_yargh_zr|fhp_mb_loca_fh|fhp_mb_loca_sx|fhp_mb_loca|fhp_mb_heit_fh|fhp_mb_heit_sx|fhp_mb_heit|fhp_mb_taba_fh|fhp_mb_taba_sx|fhp_mb_taba|fhp_mb_hard_fh|fhp_mb_hard_sx|fhp_mb_hard|fhp_mb_tatb_fh|fhp_mb_tatb_sx|fhp_mb_tatb|fhp_mb_oth1_fh|fhp_mb_oth1_sx|fhp_mb_oth1|fhp_mb_oth2_fh|fhp_mb_oth2_sx|fhp_mb_oth2_fc|fhp_mb_oth2|fhp_mb_oth3_fh|fhp_mb_oth3_sx|fhp_mb_oth3|fhp_mb_ovhd_fh|fhp_mb_ovhd_sx|fhp_mb_ovhd_fc|fhp_mb_ovhd|fhp_mb_sumz_fh|fhp_mb_sumz_sx|fhp_mb_sumz_fc|fhp_mb_sumz|fhp_loca_psn|fhp_loca_s_psn|fhp_loca_fc_psn|fhp_heit_psn|fhp_heit_s_psn|fhp_heit_fc_psn|fhp_taba_psn|fhp_taba_s_psn|fhp_taba_fc_psn|fhp_hard_psn|fhp_hard_s_psn|fhp_hard_fc_psn|fhp_tatb_psn|fhp_tatb_s_psn|fhp_tatb_fc_psn|fhp_oth1_psn|fhp_oth1_s_psn|fhp_oth1_fc_psn|fhp_oth2_psn|fhp_oth2_s_psn|fhp_oth2_fc_psn|fhp_oth3_psn|fhp_oth3_s_psn|fhp_oth3_fc_psn|fhp_ovhd_psn|fhp_ovhd_s_psn|fhp_ovhd_fc_psn|fhp_sumz_psn|fhp_sumz_s_psn|fhp_sumz_fc_psn|fhp_mb_loca_fh_psn|fhp_mb_loca_sx_psn|fhp_mb_loca_psn|fhp_mb_heit_fh_psn|fhp_mb_heit_sx_psn|fhp_mb_heit_psn|fhp_mb_taba_fh_psn|fhp_mb_taba_sx_psn|fhp_mb_taba_psn|fhp_mb_hard_fh_psn|fhp_mb_hard_sx_psn|fhp_mb_hard_psn|fhp_mb_tatb_fh_psn|fhp_mb_tatb_sx_psn|fhp_mb_tatb_psn|fhp_mb_oth1_fh_psn|fhp_mb_oth1_sx_psn|fhp_mb_oth1_psn|fhp_mb_oth2_fh_psn|fhp_mb_oth2_sx_psn|fhp_mb_oth2_psn|fhp_mb_oth3_fh_psn|fhp_mb_oth3_sx_psn|fhp_mb_oth3_psn|fhp_mb_ovhd_fh_psn|fhp_mb_ovhd_sx_psn|fhp_mb_ovhd_psn|fhp_mb_sumz_fh_psn|fhp_mb_sumz_sx_psn|fhp_mb_sumz_psn|fhp_tgrb_psn|fhp_auto_psn|fhp_prtj_psn|fhp_mb49_psn|fhp_mbtj_psn|fhp_mbtj_fmul_psn|fhp_mbts_psn|fhp_tl49_psn|fhp_prbv_49|fhp_roshd_49|fhp_mbfh_psn|fhp_mbsx_psn|fhp_mbmp_psn|fhp_mbfc_psn|fhp_mb_totl_psn|fhp_roshd|fhp_roshd_tdil|fhp_mbfh_psn_z|fhp_mbsx_psn_z|fhp_mbmp_psn_z|fhp_mbfc_psn_z|fhp_mb_totl_psn_z|fhp_roshd_z|fhp_zrib_z|fhp_roshd_tdil_z|fhp_mbfh_tdil_psn|fhp_mbsx_tdil_psn|fhp_mb_totl_tdil_psn|fhp_roshd_tdil_psn|fhp_mbfh_tdil_psn_z|fhp_mbsx_tdil_psn_z|fhp_mb_totl_tdil_psn_z|fhp_roshd_tdil_psn_z|fhp_prbv_tdil_psn_z|fhp_prbv_tdil_psn|fhp_mb_khtd|fhp_mb_khtd_rs|fhp_is_locked|fhp_lock_pass|fhp_lock_desc|fhp_tdil_tatb|fhp_mb_yargh_kh_psn|fhp_mb_yargh_zr_psn|shk_pd_j|shk_pd_m|shk_eblaghi|shk_motanazer|fhp_rzmt_numo_header|fhp_rzmt_tool_header|fhp_rzmt_arz_header|fhp_rzmt_heit_header|fhp_rzmt_weit_header|fhp_mb_tdil_10000
brv_documents,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_documents,8,doc_link_proj|doc_nusv|doc_type|doc_name|doc_rad|doc_path|doc_content|doc_filename
brv_fspy,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_fspy,29,fsp_link_proj|fsp_id|fsp_nusv|fsp_type|fsp_rad|fsp_atsj|fsp_numb|fsp_date|fsp_dscr|fsp_quan|fsp_prmb|fsp_prfc|fsp_prja|fsp_prmf|fsp_prmb_mtmb|fsp_prja_mtmb|fsp_tdyr_mtmb|fsp_tiyr_mtmb|fsp_prmf_mtmb|fsp_totl_mtmb|fsp_zrpt|fsp_totl|fsp_radj|fsp_zrtd|fsp_tmyr|fsp_link_previous|fsp_type_previous|fsp_mola|fsp_totl_10000
brv_zrtb,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_zrtb,10,ztb_link_proj|ztb_id|ztb_nusv|ztb_type|ztb_rad|ztb_numb|ztb_dscr|ztb_area|ztb_height|ztb_Qi
brv_tonl,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_tonl,8,tnl_link_proj|tnl_rad|tnl_nusv|tnl_type|tnl_id|tnl_name|tnl_dscr|tnl_dpth
brv_acts,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_acts,39,act_link_proj|act_coac|act_nusv|act_type|act_id|act_parent|act_level|act_rad|act_name|act_dscr|act_unit|act_zrib|act_pcal|act_pcal_kh|act_pcst|act_pcst_kh|act_pcst_ol|act_pcst_ol_kh|act_pcun|act_quan|act_prcn|act_prcn_ol|act_weit|act_prcf|act_task_type|act_duration|act_total_rad|act_User_Edit|act_Start|act_Finish|act_Min_Start_User|act_Min_Start_CPM|act_Start_Date|act_Finish_Date|act_IsSummery|act_IsPlanned|act_pcal_psn|act_weit_p|act_pcun_psn
brv_ahta,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_ahta,39,ata_link_proj|ata_nufh|ata_nuse|ata_nusv_previous|ata_type_previous|ata_nusv|ata_type|ata_inrd|ata_year|ata_rad|ata_nufh_name|ata_name|ata_pcnw|ata_pcol|ata_pcnz|ata_pcoz|ata_zrta|ata_tidy|ata_pcwp|ata_pcwz|ata_pcta|ata_pctz|ata_shnw|ata_shbs|ata_tofh|ata_tofh_name|ata_tose|ata_tose_name|ata_fsrs|ata_str_prod|ata_str_avg|ata_str_tatb|ata_No_Zero|ata_pcnw_3m|ata_pcol_3m|ata_pcnz_3m|ata_pcoz_3m|ata_year_shkh|ata_prod_shkh
brv_mult,brv,پروژه/برآورد/صورت‌وضعیت Taksa,/NewDataSet/brv_mult,295,mlt_link_proj|mlt_nufh|mlt_nuse|mlt_nusv|mlt_type|mlt_is_tjhz|mlt_name|mlt_rad|mlt_plmu|mlt_plmu_s|mlt_plmu_fc|mlt_plmu_mp|mlt_plmu_s_mp|mlt_plmu_fc_mp|mlt_loca|mlt_loca_s|mlt_loca_fc|mlt_loca_mp|mlt_loca_s_mp|mlt_loca_fc_mp|mlt_heit|mlt_heit_s|mlt_heit_fc|mlt_heit_mp|mlt_heit_s_mp|mlt_heit_fc_mp|mlt_taba|mlt_taba_s|mlt_taba_fc|mlt_taba_mp|mlt_taba_s_mp|mlt_taba_fc_mp|mlt_hard|mlt_hard_s|mlt_hard_fc|mlt_hard_mp|mlt_hard_s_mp|mlt_hard_fc_mp|mlt_tatb|mlt_tatb_s|mlt_tatb_fc|mlt_tatb_mp|mlt_tatb_s_mp|mlt_tatb_fc_mp|mlt_ovhd|mlt_ovhd_s|mlt_ovhd_fc|mlt_ovhd_mp|mlt_ovhd_s_mp|mlt_ovhd_fc_mp|mlt_oth1|mlt_oth1_s|mlt_oth1_fc|mlt_oth1_mp|mlt_oth1_s_mp|mlt_oth1_fc_mp|mlt_oth2|mlt_oth2_s|mlt_oth2_fc|mlt_oth2_mp|mlt_oth2_s_mp|mlt_oth2_fc_mp|mlt_oth3|mlt_oth3_s|mlt_oth3_fc|mlt_oth3_mp|mlt_oth3_s_mp|mlt_oth3_fc_mp|mlt_zrmp_70|mlt_zrmp_70_s|mlt_zrmp_70_fc|mlt_zrmp_mp|mlt_zrmp_s_mp|mlt_zrmp_fc_mp|mlt_zrmp_70_mp|mlt_zrmp_70_s_mp|mlt_zrmp_70_fc_mp|mlt_sumz|mlt_sumz_s|mlt_sumz_fc|mlt_sumz_mp|mlt_sumz_s_mp|mlt_sumz_fc_mp|mlt_sumz_str|mlt_sumz_s_str|mlt_sumz_fc_str|mlt_sumz_mp_str|mlt_sumz_s_mp_str|mlt_sumz_fc_mp_str|ses_bloc|ses_bloc_s|ses_bloc_t|ses_bhei|ses_bhei_s|ses_bhei_t|ses_btab|ses_btab_s|ses_btab_t|ses_bhar|ses_bhar_s|ses_bhar_t|ses_btat|ses_btat_s|ses_btat_t|ses_bovh|ses_bovh_s|ses_bovh_t|ses_both1|ses_both1_s|ses_both1_t|ses_both2|ses_both2_s|ses_both2_t|ses_both3|ses_both3_s|ses_both3_t|ses_sumz|ses_sumz_s|ses_sumz_totl|ses_pcfh|ses_pcsx|ses_pcfc|ses_pcmp|ses_pctl|ses_pcfh_z|ses_pcsx_z|ses_pcfc_z|ses_pcmp_z|ses_pctl_z|ses_prbv|ses_prbv_z|ses_przr|ses_nuan|ses_nura|ses_pcfh_work|ses_pcsx_work|ses_pcfc_work|ses_pcmp_work|ses_pcwo|ses_pcfh_work_tatb|ses_pcsx_work_tatb|ses_pcfc_work_tatb|ses_pcmp_work_tatb|ses_pctl_work_tatb|ses_pcwo_ol|ses_prcn_wo|ses_prwo|ses_pcfh_work_z|ses_pcfh_work_z_fmul|ses_pcsx_work_z|ses_pcsx_work_z_fmul|ses_pcfc_work_z|ses_pcmp_work_z|ses_pcwo_z|ses_pcfh_work_tatb_z|ses_pcfh_work_tatb_z_fmul|ses_pcsx_work_tatb_z|ses_pcsx_work_tatb_z_fmul|ses_pcfc_work_tatb_z|ses_pcmp_work_tatb_z|ses_pctl_work_tatb_z|ses_pcmp_tatb_ol_z|ses_pctl_tatb_ol_z|ses_pcwo_ol_z|ses_prcn_wo_z|ses_prwo_z|ses_pcwo_new|ses_pcwo_afza|ses_pcwo_fznew|ses_pcwo_kahe|ses_sum_afkh|ses_pcwo_new_z|ses_pcwo_afza_z|ses_pcwo_fznew_z|ses_pcwo_kahe_z|ses_sum_afkh_z|ses_pcfh_tdil|ses_pcsx_tdil|ses_pctl_tdil|ses_pcwo_tdil|ses_pcfh_tdil_z|ses_pcsx_tdil_z|ses_pctl_tdil_z|ses_pcwo_tdil_z|ses_prbv_tdil|ses_prbv_tdil_z|ses_49fh|ses_49as|ses_49tl|ses_pr49|mlt_loca_psn|mlt_loca_s_psn|mlt_loca_fc_psn|mlt_heit_psn|mlt_heit_s_psn|mlt_heit_fc_psn|mlt_taba_psn|mlt_taba_s_psn|mlt_taba_fc_psn|mlt_hard_psn|mlt_hard_s_psn|mlt_hard_fc_psn|mlt_tatb_psn|mlt_tatb_s_psn|mlt_tatb_fc_psn|mlt_ovhd_psn|mlt_ovhd_s_psn|mlt_ovhd_fc_psn|mlt_oth1_psn|mlt_oth1_s_psn|mlt_oth1_fc_psn|mlt_oth2_psn|mlt_oth2_s_psn|mlt_oth2_fc_psn|mlt_oth3_psn|mlt_oth3_s_psn|mlt_oth3_fc_psn|mlt_sumz_psn|mlt_sumz_s_psn|mlt_sumz_fc_psn|ses_bloc_psn|ses_bloc_s_psn|ses_bloc_t_psn|ses_bhei_psn|ses_bhei_s_psn|ses_bhei_t_psn|ses_btab_psn|ses_btab_s_psn|ses_btab_t_psn|ses_bhar_psn|ses_bhar_s_psn|ses_bhar_t_psn|ses_btat_psn|ses_btat_s_psn|ses_btat_t_psn|ses_bovh_psn|ses_bovh_s_psn|ses_bovh_t_psn|ses_both1_psn|ses_both1_s_psn|ses_both1_t_psn|ses_both2_psn|ses_both2_s_psn|ses_both2_t_psn|ses_both3_psn|ses_both3_s_psn|ses_both3_t_psn|ses_sumz_psn|ses_sumz_s_psn|ses_sumz_totl_psn|ses_49fh_psn|ses_49as_psn|ses_49tl_psn|ses_pr49_psn|ses_roshd49|ses_btjh|ses_pcfh_psn|ses_pcsx_psn|ses_pcfc_psn|ses_pcmp_psn|ses_pctl_psn|ses_prbv_psn|ses_pr_roshd|ses_pr_roshd_tdil|ses_pcfh_psn_z|ses_pcsx_psn_z|ses_pcfc_psn_z|ses_pcmp_psn_z|ses_pctl_psn_z|ses_pr_roshd_tdil_z|ses_prbv_psn_z|ses_pr_roshd_z|ses_zr_roshd_z|ses_pcfh_tdil_psn|ses_pcsx_tdil_psn|ses_pctl_tdil_psn|ses_pr_roshd_tdil_psn|ses_pcfh_tdil_psn_z|ses_pcsx_tdil_psn_z|ses_pctl_tdil_psn_z|ses_pr_roshd_tdil_psn_z|shk_pd_j|shk_pd_m|shk_eblaghi|shk_motanazer|ses_prcn_dore_10000|ses_zrib_kol_10000|ses_zrib_tdil_10000|ses_pctd_10000|ses_pctl_10000|shk_pd_j_astr|shk_pd_m_astr|ses_Zrib_Rshd_Astr|ses_start_date|ses_end_date
