grid_name,module_family,workflow_role,column_count,visible_columns,hidden_columns,readonly_columns,input_or_calc_columns,headers_sample,data_props_sample,web_ui_recommendation
Note_doing_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,3,%اجرا | جمع اجرا شده | تجهیز اجرا | ردیف | عنوان دفترچه | فهرست بها | ستاره دار | مبلغ تجهیز | جمع برآوردی | % وزنی,fhp_pr_work_z | fhp_mb_work_z | fhp_mbtj_work | fhp_rad | fhp_abst | fhp_mbfh_z | fhp_mbsx_z | fhp_mbtj | fhp_mb_totl_z | fhp_prbv_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_list_argham_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,0,دفترچه | جمع خالص | منطقه ای | ارتفاع | طبقات | صعوبت | تطبیق | بالا سری | تجهیز | جمع کل | اقلام فاکتوری,fhp_abst | fhp_mb_fhsx | fhp_mb_loca | fhp_mb_heit | fhp_mb_taba | fhp_mb_hard | fhp_mb_tatb | fhp_mb_ovhd | fhp_mbtj | fhp_mb_sumz | fhp_mbfc_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_list_argham_s_brv,برآورد,تعریف برآورد و آیتم‌های پایه,14,14,0,0,0,دفترچه | جمع خالص | منطقه ای | ارتفاع | طبقات | صعوبت | تطبیق | سایر1 | سایر2 | سایر3 | بالا سری | تجهیز,fhp_abst | fhp_mb_fhsx | fhp_mb_loca | fhp_mb_heit | fhp_mb_taba | fhp_mb_hard | fhp_mb_tatb | fhp_mb_oth1 | fhp_mb_oth2 | fhp_mb_oth3 | fhp_mb_ovhd | fhp_mbtj,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_list_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,8,8,0,0,0,ردیف | عنوان دفترچه | فهرست بها | ستاره دار | جمع برآوردی | تجهیزباضرایب | جمع برآوردی کل | اقلام فاکتوری,fhp_rad | fhp_abst | fhp_mbfh | fhp_mbsx | fhp_mb_fhsx | fhp_mbtj | fhp_mb_totl | fhp_mbfc,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_list_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,0,2,ردیف | عنوان دفترچه | فهرست بها | ستاره دار | جمع برآوردی | مبلغ تجهیز | جمع برآوردی کل | % ستاره دار | اقلام فاکتوری,fhp_rad | fhp_abst | fhp_mbfh_z | fhp_mbsx_z | fhp_mb_fhsx_z | fhp_mbtj | fhp_mb_totl_z | fhp_mb_astr_z_darsad | fhp_mbfc_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_sarjam_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,8,عنوان دفترچه | آخرین شاخص رشته ای ابلاغی E | شاخص رشته ای دوره مبنای فهرست M | شاخص رشته ای دوره متناظر ابلاغی N | درصد تغییر متوسط یک دوره 3 ماهه C=[E/N-1]/4 | ضریب هم ترازی B | مبلغ برآورد کار براساس آخرین فهرست بهای پایه ابلاغی A | ضریب تعدیل رشته ای نهایی B*[C*D+1] | مبلغ برآورد بهنگام شده تا زمان برگزاری مناقصه و زمان اجرای کار F=(A*B)*[C*D+1] | هزینه تجهیز برآوردی ویژه سرجمع | اقلام فاکتوری,fhp_abst | shk_eblaghi | shk_pd_m | shk_motanazer | fhp_prcn_dore_srjm | fhp_zrib_hamtaraz_srjm | fhp_pctl_srjm | fhp_zrib_tdil_srjm | fhp_pctd_srjm | fhp_tjhz_srjm | fhp_mbfc_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_tdil_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,3,ردیف | عنوان دفترچه | فهرست بها + تعدیل | ستاره دار + تعدیل | جمع برآورد + تعدیل | تجهیزباضرایب + تعدیل | جمع برآوردی کل + تعدیل | %وزنی | شاخص مبنا | شاخص جاری,fhp_rad | fhp_abst | fhp_mbfh_tdil | fhp_mbsx_tdil | fhp_mbsx_mbfh_tdil | fhp_mbtj_tdil | fhp_mb_totl_tdil | fhp_prbv_tdil | shk_pd_m | shk_pd_j,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_tdil_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,3,ردیف | عنوان دفترچه | فهرست بها + تعدیل | ستاره دار + تعدیل | جمع برآورد + تعدیل | هزینه تجهیز برآوردی + تعدیل | جمع برآوردی کل + تعدیل | % وزنی | شاخص مبنا | شاخص جاری,fhp_rad | fhp_abst | fhp_mbfh_tdil_z | fhp_mbsx_tdil_z | fhp_mbsx_mbfh_tdil_z | fhp_mbtj_tdil | fhp_mb_totl_tdil_z | fhp_prbv_tdil_z | shk_pd_m | shk_pd_j,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Note_v4951_brv,برآورد,تعریف برآورد و آیتم‌های پایه,7,7,0,0,1,ردیف | عنوان دفترچه | جمع فصلها | هزینه بالاسری | هزینه تجهیز و ... | جمع (برآورد کل) | % وزنی,fhp_rad | fhp_abst | fhp_mb49 | fhp_mb_ovhd | fhp_mbtj | fhp_tl49 | fhp_prbv_49,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Zrpy_brv_astr,برآورد,تعریف برآورد و آیتم‌های پایه,15,14,1,2,0,ردیف | فصل پایه | فصل | شرح فصل | تعداد زیرفصل | حاصلضرایب,mlt_rad | mlt_Prnuse | mlt_nuse | mlt_name | mlt_SubCount | mlt_sumz_s | mlt_oth3_s | mlt_oth2_s | mlt_oth1_s | mlt_ovhd_s | mlt_tatb_s | mlt_hard_s,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Zrpy_brv_fact,برآورد,تعریف برآورد و آیتم‌های پایه,15,14,1,2,0,ردیف | فصل پایه | فصل | شرح فصل | تعداد زیرفصل | حاصلضرایب,mlt_rad | mlt_Prnuse | mlt_nuse | mlt_name | mlt_SubCount | mlt_sumz_fc | mlt_oth3_fc | mlt_oth2_fc | mlt_oth1_fc | mlt_ovhd_fc | mlt_tatb_fc | mlt_hard_fc,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
Zrpy_brv_norm,برآورد,تعریف برآورد و آیتم‌های پایه,15,14,1,2,0,ردیف | فصل پایه | فصل | شرح فصل | تعداد زیرفصل | حاصلضرایب,mlt_rad | mlt_Prnuse | mlt_nuse | mlt_name | mlt_SubCount | mlt_sumz | mlt_oth3 | mlt_oth2 | mlt_oth1 | mlt_ovhd | mlt_tatb | mlt_hard,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
afzayesh_kahesh_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,13,13,0,0,7,ردیف | فعالیت | کد فهرست | * | شرح مختصر | شرح کامل | مقدار اولیه | مقدار محاسبه شده | مقدار افزایش یافته | مقدار کاهش یافته | قیمت واحد پایه | مبلغ افزایش یافته,bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | bgm_quan | bgm_qust | bgm_qufz | bgm_qukh | fbh_pcun | bgm_pcfz,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
afzayesh_kahesh_brv,برآورد,تعریف برآورد و آیتم‌های پایه,13,13,0,0,7,ردیف | کد فهرست | * | شرح مختصر | شرح کامل | واحد | مقدار اولیه | مقدار محاسبه شده | مقدار افزایش یافته | مقدار کاهش یافته | قیمت واحد پایه | مبلغ افزایش یافته,bgm_rad | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | bgm_quan | bgm_qust | bgm_qufz | bgm_qukh | fbh_pcun | bgm_pcfz,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
afzayesh_kahesh_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,0,2,ردیف | فصل | عنوان فصل | جمع برآورد شده | جمع اجرا شده | قیمت جدید | افزایش یافته | افزایش یافته + قیمت جدید | کاهش یافته,mlt_rad | mlt_nuse | mlt_name | ses_pctl | ses_pcwo | ses_pcwo_new | ses_pcwo_afza | ses_pcwo_fznew | ses_pcwo_kahe,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
afzayesh_kahesh_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,0,2,ردیف | فصل | عنوان فصل | جمع برآوردشده | جمع اجرا شده | قیمت جدید | افزایش یافته | افزایش یافته + قیمت جدید | کاهش یافته,mlt_rad | mlt_nuse | mlt_name | ses_pctl_z | ses_pcwo_z | ses_pcwo_new_z | ses_pcwo_afza_z | ses_pcwo_fznew_z | ses_pcwo_kahe_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
doing_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,13,13,0,0,6,% اجرا | مبلغ اجراشده | مقداراجراشده | ردیف | فعالیت | کد فهرست | * | شرح مختصر | شرح کامل | بهای واحد | مقدار برآوردی | مبلغ برآوردی,bgm_prcn | bgm_pcst | bgm_qust | bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_pcun | bgm_quan | bgm_pcal,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
doing_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,0,6,% اجرا | مبلغ اجراشده | مقداراجراشده | ردیف | کد فهرست | * | شرح مختصر | شرح کامل | بهای واحد | مقدار برآوردی | مبلغ برآوردی | شرح ملاحظات,bgm_prcn | bgm_pcst | bgm_qust | bgm_rad | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_pcun | bgm_quan | bgm_pcal | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
doing_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,2,%اجرا | جمع اجرا شده | فصل | عنوان فصل | فهرست بها | ستاره دار | جمع برآوردی | %وزنی | تعداد | ؟آنالیز,ses_prwo | ses_pcwo | mlt_nuse | mlt_name | ses_pcfh | ses_pcsx | ses_pctl | ses_prbv | ses_nura | ses_nuan,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
doing_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,2,%اجرا | جمع اجرا شده | فصل | عنوان فصل | فهرست بها | ستاره دار | جمع برآوردی | %وزنی | تعداد | ؟آنالیز,ses_prwo_z | ses_pcwo_z | mlt_nuse | mlt_name | ses_pcfh_z | ses_pcsx_z | ses_pctl_z | ses_prbv_z | ses_nura | ses_nuan,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_10000_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,0,4,ردیف | فعالیت | کدفهرست | * | شرح مختصر | شرح کامل | واحد | بهای واحد | مقدار برآوردی | مبلغ برآوردی | برآوردی*ضریب تعدیل کل | ملاحظات,bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_pcal10000 | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_10000_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,4,ردیف | کدفهرست | * | شرح مختصر | شرح کامل | واحد | بهای واحد | مقدار برآوردی | مبلغ برآوردی | برآوردی*ضریب تعدیل کل | ملاحظات,bgm_rad | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_pcal10000 | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_63219_brv,برآورد,تعریف برآورد و آیتم‌های پایه,5,5,0,0,2,ردیف | فصل | عنوان فصل | مبلغ فصل | مبلغ فصل با احتساب ضرایب,mlt_rad | mlt_nuse | mlt_name | ses_pctl | ses_pctl_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,1,2,ردیف | فعالیت | ن | کد فهرست | * | شرح مختصر | شرح کامل | واحد کار | ریال واحد | مقدار برآوردی | مبلغ برآوردی | ملاحظات,bgm_rad | bgm_coac | ity_Summ | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,1,2,ردیف | ن | کد فهرست | * | شرح مختصر | شرح کامل | واحد کار | ریال واحد | مقدار برآوردی | مبلغ برآوردی | ملاحظات,bgm_rad | ity_Summ | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,0,1,ردیف | فصل | عنوان فصل | فهرست بها | ستاره دار | جمع برآوردی | %وزنی | تعداد | ؟آنالیز,mlt_rad | mlt_nuse | mlt_name | ses_pcfh | ses_pcsx | ses_pctl | ses_prbv | ses_nura | ses_nuan,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_seas10000_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,0,8,فصل | عنوان فصل | آخرین شاخص ابلاغی   A | دوره مبنای فهرست   B | دوره متناظر ابلاغی   C | درصد رشد هردوره D= 100*(A/C-1)/4 | ضریب رشد کل E1= N*D/100+1 | ضریب تعدیل کل E= E1*A/B-1 | مبلغ ریالی بدون احتساب ضرایب F | مبلغ ریالی با احتساب ضرایب F*ضرایب=P | مبلغ تعدیل EQ=E*P | مبلغ ریالی کل C=EQ+P,mlt_nuse | mlt_name | shk_eblaghi | shk_pd_m | shk_motanazer | ses_prcn_dore_10000 | ses_zrib_kol_10000 | ses_zrib_tdil_10000 | ses_pctl | ses_pctl_z | ses_pctd_10000 | ses_pctl_10000,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_shahr_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,16,14,2,0,4,"ردیف | فعالیت | کد فهرست | * | شرح مختصر | شرح کامل | واحد کار | ریال واحد | مقدار برآوردی
      a | ریال واحد مصالح
      m | ریال واحد دستمزد
      w | قیمت مصالح
      a*m",bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | fbh_pcun_masaleh | fbh_pcun_dastmozd | bgm_pcal_masaleh,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_shahr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,15,13,2,0,4,"ردیف | کد فهرست | * | شرح مختصر | شرح کامل | واحد کار | ریال واحد | مقدار برآوردی
      a | ریال واحد مصالح
      m | ریال واحد دستمزد
      w | قیمت مصالح
      a*m | قیمت دستمزد
      a*w",bgm_rad | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | fbh_pcun_masaleh | fbh_pcun_dastmozd | bgm_pcal_masaleh | bgm_pcal_dastmozd,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_srjm_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,0,4,ردیف | فعالیت | کدفهرست | * | شرح مختصر | شرح کامل | واحد | بهای واحد | مقدار برآوردی | مبلغ برآوردی | برآوردی*ضریب تعدیل کل | ملاحظات,bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_pcalsrjm | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_tdil_acti_brv,برآورد,تعریف برآورد و آیتم‌های پایه,12,12,0,0,3,ردیف | فعالیت | کدفهرست | * | شرح مختصر | شرح کامل | واحد | بهای واحد | مقدار برآوردی | مبلغ برآوردی | برآوردی+تعدیل | ملاحظات,bgm_rad | bgm_coac | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_pcal_tdil_exp | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_tdil_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,3,ردیف | کدفهرست | * | شرح مختصر | شرح کامل | واحد | بهای واحد | مقدار برآوردی | مبلغ برآوردی | برآوردی+تعدیل | ملاحظات,bgm_rad | bgm_cofh | fbh_astr_str | fbh_abst | fbh_desc | fbh_unit | fbh_pcun | bgm_quan | bgm_pcal | bgm_pcal_tdil_exp | bgm_dscf,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_tdil_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,2,3,ردیف | فصل | عنوان فصل | فهرست بها + تعدیل | ستاره دار + تعدیل | جمع برآوردی + تعدیل | %وزنی | شاخص مبنا | شاخص جاری,mlt_rad | mlt_nuse_nusu | mlt_name | ses_pcfh_tdil | ses_pcsx_tdil | ses_pctl_tdil | ses_prbv_tdil | shk_pd_m | shk_pd_j,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_tdil_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,2,3,ردیف | فصل | عنوان فصل | فهرست بها + تعدیل | ستاره دار + تعدیل | جمع برآوردی + تعدیل | %وزنی | شاخص مبنا | شاخص جاری,mlt_rad | mlt_nuse_nusu | mlt_name | ses_pcfh_tdil_z | ses_pcsx_tdil_z | ses_pctl_tdil_z | ses_prbv_tdil_z | shk_pd_m | shk_pd_j,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
list_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,9,9,0,0,1,ردیف | فصل | عنوان فصل | فهرست بها | ستاره دار | جمع برآوردی | %وزنی | تعداد | ؟آنالیز,mlt_rad | mlt_nuse | mlt_name | ses_pcfh_z | ses_pcsx_z | ses_pctl_z | ses_prbv_z | ses_nura | ses_nuan,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_afzayesh_kahesh_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,8,8,0,0,3,ردیف | عنوان دفترچه | مبلغ برآوردی | اجرا شده | قیمت جدید | افزایش یافته | افزایش یافته + قیمت جدید | کاهش یافته,fhp_rad | fhp_abst | fhp_mb_totl | fhp_mb_work | fhp_fzkh_new | fhp_fzkh | fhp_fzkh_fznew | fhp_fzkh_kh,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_afzayesh_kahesh_zrib_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,6,ردیف | عنوان دفترچه | مبلغ برآوردی | اجرا شده | قیمت جدید | % جدید | افزایش یافته | افزایش یافته + قیمت جدید | % افزایش | کاهش یافته | % کاهش,fhp_rad | fhp_abst | fhp_mb_totl_z | fhp_mb_work_z | fhp_fzkh_new_z | fhp_fzkh_new_z_percent | fhp_fzkh_z | fhp_fzkh_fznew_z | fhp_fzkh_fznew_z_percent | fhp_fzkh_kh_z | fhp_fzkh_kh_z_percent,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_doing_nozr_brv,برآورد,تعریف برآورد و آیتم‌های پایه,10,10,0,0,2,%اجرا | جمع اجرا شده | تجهیزاجراباضرایب | ردیف | عنوان دفترچه | فهرست بها | ستاره دار | تجهیزباضرایب | جمع برآوردی | % وزنی,fhp_pr_work | fhp_mb_work | fhp_mbtj_work | fhp_rad | fhp_abst | fhp_mbfh | fhp_mbsx | fhp_mbtj | fhp_mb_totl | fhp_prbv,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_list_argham_s_tdil_brv,برآورد,تعریف برآورد و آیتم‌های پایه,14,14,0,0,0,دفترچه | جمع خالص | منطقه ای | ارتفاع | طبقات | صعوبت | تطبیق | بالا سری | سایر1 | سایر2 | سایر3 | تجهیز,fhp_abst | fhp_mb_fhsx_tdil | fhp_loca | fhp_heit | fhp_taba | fhp_hard | fhp_tatb | fhp_ovhd | fhp_oth1 | fhp_oth2 | fhp_oth3 | fhp_mbtj_tdil,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_list_argham_tdil_brv,برآورد,تعریف برآورد و آیتم‌های پایه,11,11,0,0,0,دفترچه | جمع خالص | منطقه ای | ارتفاع | طبقات | صعوبت | تطبیق | بالا سری | تجهیز | اقلام فاکتوری | جمع کل,fhp_abst | fhp_mb_fhsx_tdil | fhp_loca | fhp_heit | fhp_taba | fhp_hard | fhp_tatb | fhp_ovhd | fhp_mbtj_tdil | fhp_mb_yargh_zr | fhp_mb_totl_tdil_z,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
note_list_nozr_tsil_brv,برآورد,تعریف برآورد و آیتم‌های پایه,7,7,0,0,0,ردیف | عنوان دفترچه | فهرست بها | ستاره دار | جمع برآوردی | تجهیزباضرایب | جمع کل,fhp_rad | fhp_abst | fhp_mbfh | fhp_mbsx | fhp_mb_fhsx | fhp_mbtj | fhp_mb_totl_tjts,جدول حرفه‌ای با گروه‌بندی فصل/دفترچه، جمع‌های sticky، فیلتر، و ویرایش inline محدود
