database,table,prefix,family,column_count
svz_importer,seas,seas,خلاصه فصل‌ها,33
svz_importer,secu,secu,نامشخص/نیازمند بررسی,4
svz_importer,secu_n,secu,نامشخص/نیازمند بررسی,1
svz_importer,situ,situ,نامشخص/نیازمند بررسی,24
svz_importer,sorc,sorc,منابع/جمع‌بندی,23
svz_importer,srch,srch,نامشخص/نیازمند بررسی,2
svz_importer,srfb,srfb,نامشخص/نیازمند بررسی,2
svz_importer,srrz,srrz,نامشخص/نیازمند بررسی,3
svz_importer,titz,titz,نامشخص/نیازمند بررسی,8
svz_importer,zrhi,zrhi,نامشخص/نیازمند بررسی,3
svz_importer,zrtb,zrtb,ضرایب/تجهیز,4
taksa_temp,ZrLc,zrlc,نامشخص/نیازمند بررسی,4
taksa_temp,ader,ader,نامشخص/نیازمند بررسی,15
taksa_temp,bkal,bkal,نامشخص/نیازمند بررسی,37
taksa_temp,dstb,dstb,حمل/فاصله,8
taksa_temp,fhbh,fhbh,فهرست‌بها/ردیف,16
taksa_temp,fsbs,fsbs,نامشخص/نیازمند بررسی,8
taksa_temp,fsbz,fsbz,نامشخص/نیازمند بررسی,10
taksa_temp,grop,grop,گروه‌بندی,3
taksa_temp,hmbs,hmbs,نامشخص/نیازمند بررسی,19
taksa_temp,nmmhb,nmmhb,نامشخص/نیازمند بررسی,18
taksa_temp,pyfs,pyfs,نامشخص/نیازمند بررسی,21
taksa_temp,shkh1,shkh1,نامشخص/نیازمند بررسی,11
taksa_temp,shkh2,shkh2,نامشخص/نیازمند بررسی,11
taksa_temp,shkh3,shkh3,نامشخص/نیازمند بررسی,11
taksa_temp,sorc_sc,sorc,منابع/جمع‌بندی,11
taksa_temp,sorc_sn,sorc,منابع/جمع‌بندی,11
taksa_temp,tatb,tatb,تطبیق,15
taksa_temp,unit,unit,نامشخص/نیازمند بررسی,2
