area,route,page_component,purpose,roles,primary_entities,main_permission,priority
review,/app/projects/[projectId]/documents/[documentId]/versions,DocumentVersionHistoryPage,تاریخچه نسخه‌ها و برگشت‌ها,project members,"DocumentVersion, AuditLog",read_versions,P0
adjustment,/app/projects/[projectId]/documents/[documentId]/adjustment,AdjustmentEnginePage,تعدیل و شاخص‌های سند,"consultant, financial_controller, employer","AdjustmentRun, AdjustmentLine, IndexPeriod",manage_adjustment_by_state,P0
transport,/app/projects/[projectId]/documents/[documentId]/transport,TransportDistancePage,حمل و فاصله,"contractor, consultant",TransportDistance,manage_transport,P1
analysis,/app/projects/[projectId]/documents/[documentId]/analysis,ResourceAnalysisPage,آنالیز بها و منابع,"contractor, consultant, financial_controller","AnalysisLine, Resource",manage_analysis,P1
reports,/app/projects/[projectId]/reports,ProjectReportsCenterPage,مرکز گزارش‌های پروژه,project members,ReportTemplate,read_generate_reports,P0
reports,/app/projects/[projectId]/documents/[documentId]/reports,DocumentReportsPage,گزارش‌های سند مالی,project members,"ReportTemplate, CommercialDocument",read_generate_document_reports,P0
export,/app/projects/[projectId]/documents/[documentId]/export,DocumentExportCenterPage,خروجی PDF/Excel/SVZT,"project_admin, support_admin, allowed roles","ExportJob, TaksaArtifact",export_document,P0
taksa,/app/projects/[projectId]/taksa,ProjectTaksaCompatibilityPage,وضعیت سازگاری تکسا برای پروژه,"project_admin, support_admin",TaksaArtifact,read_taksa_compatibility,P0
taksa,/app/projects/[projectId]/taksa/artifacts/[artifactId],TaksaArtifactInspectorPage,بررسی فایل خام، tableها و mapping,support_admin,"TaksaArtifact, TaksaRawTable, TaksaRawRow",inspect_raw_artifact,P0 internal
taksa,/app/projects/[projectId]/taksa/artifacts/[artifactId]/diff,TaksaExportDiffPage,مقایسه raw اصلی و export patch‌شده,support_admin,"TaksaRawRow, ExportJob",inspect_export_diff,P0 internal
settings,/app/projects/[projectId]/settings,ProjectSettingsPage,تنظیمات پروژه,project_admin,Project,manage_project_settings,P1
settings,/app/admin/users,UserManagementPage,مدیریت کاربران و نقش‌ها,"system_admin, project_admin scoped","User, ProjectParty",manage_users,P1
settings,/app/admin/reference-data,ReferenceDataAdminPage,مدیریت مبانی و دیتابیس مرجع,"system_admin, support_admin","ReferenceBook, PriceListItem, IndexPeriod",manage_reference_data,P1
