path,size_bytes
02_section_tables/taksa_section09_mvp_entity_priority.csv,1272
02_section_tables/taksa_section09_taksa_to_web_entity_matrix.csv,11805
02_section_tables/taksa_section09_web_entity_catalog.csv,16387
02_section_tables/taksa_section10_action_permission_matrix.csv,5585
02_section_tables/taksa_section10_cycle_map.csv,3633
02_section_tables/taksa_section10_lock_audit_rules.csv,1281
02_section_tables/taksa_section10_role_permission_matrix.csv,2950
02_section_tables/taksa_section10_screen_workflow_map.csv,2164
02_section_tables/taksa_section10_transition_matrix.csv,5629
02_section_tables/taksa_section10_ux_workflow_recommendations.csv,1381
02_section_tables/taksa_section10_workflow_states.csv,3888
02_section_tables/taksa_section11_api_contracts.csv,5167
02_section_tables/taksa_section11_component_registry.csv,3467
02_section_tables/taksa_section11_grid_specs.csv,1340
02_section_tables/taksa_section11_navigation_map.csv,2072
02_section_tables/taksa_section11_page_detail_specs.csv,3775
02_section_tables/taksa_section11_route_map.csv,7180
02_section_tables/taksa_section11_state_to_route_map.csv,3154
02_section_tables/taksa_section12_calculation_data_contracts.csv,1541
02_section_tables/taksa_section12_calculation_engine_registry.csv,6448
02_section_tables/taksa_section12_calculation_pipeline_order.csv,2398
02_section_tables/taksa_section12_calculation_run_states.csv,628
02_section_tables/taksa_section12_engine_api_contracts.csv,1217
02_section_tables/taksa_section12_mvp_calculation_plan.csv,1048
02_section_tables/taksa_section12_numeric_rounding_policy.csv,1165
02_section_tables/taksa_section12_risk_controls.csv,1229
02_section_tables/taksa_section12_validation_test_matrix.csv,2570
02_section_tables/taksa_section13_data_model_milestones.csv,860
02_section_tables/taksa_section13_dependency_map.csv,1053
02_section_tables/taksa_section13_mvp_backlog.csv,2619
02_section_tables/taksa_section13_phase_gates.csv,931
02_section_tables/taksa_section13_phase_roadmap.csv,5557
02_section_tables/taksa_section13_qa_strategy.csv,684
02_section_tables/taksa_section13_repo_structure.csv,951
02_section_tables/taksa_section13_risk_register.csv,1294
02_section_tables/taksa_section13_sprint_plan.csv,2132
03_db_analysis/00_EXECUTIVE_SUMMARY.md,5657
03_db_analysis/01_OBJECTS_INDEX.md,40604
03_db_analysis/02_DOMAIN_MODULE_MAP.md,10785
03_db_analysis/03_DEPENDENCY_SUMMARY.md,7992
03_db_analysis/candidate_tables.csv,5715
03_db_analysis/chunks/sql_objects_sanitized_part_001.txt,122436
03_db_analysis/chunks/sql_objects_sanitized_part_002.txt,122404
03_db_analysis/chunks/sql_objects_sanitized_part_003.txt,94055
03_db_analysis/dependency_edges.csv,68039
03_db_analysis/metadata.json,1374
03_db_analysis/objects_index.csv,32687
03_db_analysis/tables_ranked.csv,23197
03_db_analysis/taksa_db_report.txt,23161
04_roadmap/taksa_master_document_index.csv,1512
04_roadmap/taksa_research_tracker.md,15205
04_roadmap/taksa_section13_data_model_milestones.csv,860
04_roadmap/taksa_section13_dependency_map.csv,1053
04_roadmap/taksa_section13_implementation_roadmap.md,8794
04_roadmap/taksa_section13_mvp_backlog.csv,2619
04_roadmap/taksa_section13_phase_gates.csv,931
04_roadmap/taksa_section13_phase_roadmap.csv,5557
04_roadmap/taksa_section13_qa_strategy.csv,684
04_roadmap/taksa_section13_repo_structure.csv,951
04_roadmap/taksa_section13_risk_register.csv,1294
04_roadmap/taksa_section13_sprint_plan.csv,2132
README.md,1585
